Number of nodes (N),Serial Time (us),Parallel time with 2 threads (us),Parallel time with 4 threads (us),Parallel time with 6 threads (us),Parallel time with 8 threads (us),Parallel time with 10 threads (us),Parallel time with 12 threads (us)
10,2,93,146,126,129,209,82251
20,9,1466,452,138,164,170,176231
30,22,1812,158,161,269,4819,303997
40,32,226,402,204,438,338,405133
50,45,1650,409,237,322,339,405790
60,64,196,239,265,4588,23362,191542
70,48,417,275,316,5921,4498,826242
80,60,454,279,299,407,473,799543
90,76,949,329,417,1655,5833,954013
100,130,534,406,474,521,8088,1188700
110,135,1809,391,439,512,572,1094813
120,120,482,369,433,515,567,802176
130,174,592,597,707,21645,10754,697991
140,119,701,581,24674,692,17805,1361401
150,179,1802,472,539,641,743,1593086
160,183,727,585,603,771,866,1634223
170,266,1345,588,630,746,882,1789585
180,212,760,639,741,898,1524,64076
190,283,754,848,27013,2802,4142,355624
200,387,1884,660,798,847,1190,1056103
210,363,646,827,953,987,1177,5616
220,385,728,820,1499,3131,3179,81129
230,624,978,913,903,1555,1339,183004
240,453,841,705,873,1121,1478,9184
250,564,894,934,942,1021,1123,1369
260,1048,1111,949,1063,1174,1270,1352
270,622,988,884,899,1125,1330,3052
280,610,931,943,1039,1301,1401,1683
290,573,1195,860,920,1397,1439,37008
300,749,1215,921,961,1158,1458,2380
310,535,1128,935,1126,1464,1671,1969
320,655,1187,1084,1194,2434,1602,1745
330,695,1230,1009,1247,1272,1685,2069
340,886,1457,1037,1221,1533,2005,1980
350,758,1428,1061,1355,1384,1697,1813
360,812,1297,1088,1258,1546,1940,3846
370,763,1492,1148,1329,1687,1900,2842
380,868,1399,1235,1363,1690,1715,2144
390,812,1460,1248,1289,1640,1886,2127
400,927,1449,1159,1388,1839,2083,3728
410,1019,1712,1342,1554,1916,2114,4769
420,962,1741,1425,1390,1980,2094,2269
430,1243,1792,1338,1473,1723,2969,2398
440,1071,1705,1316,1563,1837,2178,5458
450,1452,1851,1501,1688,1932,2536,2380
460,1129,1898,1467,1588,1762,2577,2817
470,1153,1974,1599,1666,2020,2545,3864
480,1315,2017,1576,1678,2552,9559,124713
490,1316,1919,1482,1713,2273,2546,6747
500,1386,1961,1585,1619,2430,2449,5143
